2009;08;11 ; TimeStamp;Backup State;CO2 saved;Error;E-Total;Fac;Grid Type;h-On;h-Total;Iac;Ipv;Mode;Pac;Power On;Serial Number;Temperature;Vac;Vpv
2009;08;12 ; 16:50;0;766.62;0;450.95;60;3;263.85;241.37;10.83;7.26;7;2727.64;129;2000673163;58.24;251.85;391.18
2009;08;12 ; 16:55;0;767;0;451.18;60;3;263.93;241.45;10.64;7.03;7;2681.3;129;2000673163;57.91;252.07;397.05
2009;08;12 ; 17:00;0;767.37;0;451.39;60;3;264.01;241.53;10.47;6.89;7;2638.96;129;2000673163;57.26;252.04;398.88
2009;08;12 ; 17:05;0;767.74;0;451.61;60;3;264.1;241.62;10.3;6.75;7;2599.74;129;2000673163;56.78;252.43;400.76
2009;08;12 ; 17:10;0;768.1;0;451.82;60.01;3;264.18;241.7;10.09;6.63;7;2564.65;129;2000673163;56.06;254.17;402.54
2009;08;12 ; 17:15;0;768.46;0;452.04;60;3;264.26;241.78;9.89;6.53;7;2511.68;129;2000673163;55.31;253.89;400.23
2009;08;12 ; 17:20;0;768.8;0;452.24;60;3;264.35;241.87;9.61;6.37;7;2439.41;129;2000673163;54.39;253.83;398.13
2009;08;12 ; 17:25;0;769.14;0;452.44;60.01;3;264.43;241.95;9.38;6.2;7;2376.08;129;2000673163;53.5;253.42;398.53
2009;08;12 ; 17:30;0;769.47;0;452.63;60;3;264.51;242.03;9.14;6.04;7;2315.45;129;2000673163;52.69;253.38;398.99
2009;08;12 ; 17:35;0;769.79;0;452.82;60;3;264.6;242.12;8.91;5.89;7;2258.42;129;2000673163;51.82;253.45;398.92
2009;08;12 ; 17:40;0;770.1;0;453;59.99;3;264.68;242.2;8.66;5.7;7;2197.77;129;2000673163;50.95;253.84;401.21
2009;08;12 ; 17:45;0;770.4;0;453.18;59.99;3;264.76;242.28;8.44;5.5;7;2127.18;129;2000673163;53.46;251.98;402.88
2009;08;12 ; 17:50;0;770.69;0;453.35;60;3;264.85;242.37;8.16;5.28;7;2044.64;129;2000673163;56.21;250.7;403.19
2009;08;12 ; 17:55;0;770.97;0;453.51;60;3;264.93;242.45;7.78;4.99;7;1950.31;129;2000673163;56.88;250.82;406.75
2009;08;12 ; 18:00;0;771.23;0;453.66;59.99;3;265.01;242.53;7.34;4.74;7;1840.22;129;2000673163;56.59;250.6;404.73
2009;08;12 ; 18:05;0;771.45;0;453.79;59.99;3;265.1;242.62;6.16;4;7;1551.62;129;2000673163;54.59;252.06;405.27
2009;08;12 ; 18:10;0;771.52;0;453.84;60;3;265.18;242.7;1.99;1.36;7;502.41;129;2000673163;45.84;252.1;397.59
2009;08;12 ; 18:15;0;771.61;0;453.89;59.99;3;265.26;242.78;2.48;1.66;7;623.35;129;2000673163;43.19;251.87;401.86
2009;08;12 ; 18:20;0;771.68;0;453.93;60;3;265.35;242.87;2;1.36;7;503.6;129;2000673163;41.44;251.54;401.08
2009;08;12 ; 18:25;0;771.74;0;453.96;60;3;265.43;242.95;1.55;1.08;7;388.15;129;2000673163;39.72;251.34;396.13
2009;08;12 ; 18:30;0;771.79;0;454;60;3;265.51;243.03;1.58;1.1;7;397.79;129;2000673163;38.54;251.45;397.16
2009;08;12 ; 18:35;0;771.84;0;454.02;60;3;265.6;243.12;1.2;0.87;7;302.35;129;2000673163;37.52;251.51;391.45
2009;08;12 ; 18:40;0;771.86;0;454.03;60;3;265.68;243.2;0.57;0.47;7;143.91;129;2000673163;35.38;250.85;378.4
2009;08;12 ; 18:45;0;771.87;0;454.04;60;3;265.76;243.28;0.38;0.37;7;95.96;129;2000673163;34.11;250.1;337.27
2009;08;12 ; 18:50;0;771.88;0;454.05;60;3;265.85;243.37;0.36;0.36;7;90.88;129;2000673163;33.46;250.45;341.9
2009;08;12 ; 18:55;0;771.89;0;454.06;59.99;3;265.93;243.45;0.33;0.31;7;81.45;129;2000673163;32.93;250.6;369.08
2009;08;12 ; 19:00;0;771.9;0;454.06;60;3;266.01;243.53;0.21;0.22;7;51.14;129;2000673163;32.53;250.95;376.55
